rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/clip_fraction,train/value_loss,train/learning_rate,train/entropy_loss,train/n_updates,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/loss
3.27,876,660,579584,90.38,283,0.058349609375,740.9273931503296,0.0003,-0.2951886354479939,2820,0.32617121934890747,0.0034145778,-0.00633941048727138,0.15,360.51605224609375
3.43,875,663,581632,88.13,284,0.057958984375,876.6187897205352,0.0003,-0.30564693924970926,2830,0.3558778166770935,0.0036944032,-0.0064422993149491955,0.15,365.9763488769531
3.39,875,666,583680,86.68,285,0.053662109375,654.8306834936142,0.0003,-0.3062095491215587,2840,0.2121124267578125,0.0045170314,-0.006580211754771881,0.15,291.47760009765625
3.31,874,669,585728,90.36,286,0.060693359375,857.2690612792969,0.0003,-0.31215188088826834,2850,0.31857991218566895,0.003730146,-0.006964963518839795,0.15,447.5523986816406
3.33,873,672,587776,85.84,287,0.0634765625,801.3729262828826,0.0003,-0.30509938453324137,2860,0.27553361654281616,0.0038158263,-0.0061503954355430325,0.15,544.7308959960938
3.39,872,675,589824,84.34,288,0.053564453125,987.6198478698731,0.0003,-0.30924459286034106,2870,0.3028005361557007,0.003060802,-0.0065753651855629865,0.15,605.5493774414062
3.37,871,679,591872,84.37,289,0.054736328125,778.828528547287,0.0003,-0.3197186112869531,2880,0.3111657500267029,0.0040404396,-0.005242667530546896,0.15,291.80926513671875
3.34,870,682,593920,84.85,290,0.057421875,918.1403791427613,0.0003,-0.31844658642075957,2890,0.374436616897583,0.0036668936,-0.005962814234226244,0.15,298.94622802734375
3.35,870,684,595968,90.3,291,0.062939453125,837.8267947673797,0.0003,-0.29719594698399304,2900,0.29009461402893066,0.0042455145,-0.006264941936387913,0.15,374.50372314453125
3.39,870,686,598016,83.19,292,0.08037109375,741.9032014846802,0.0003,-0.30594397941604257,2910,0.3426077961921692,0.005276545,-0.007858970264351228,0.15,343.3904113769531
3.37,871,688,600064,92.87,293,0.060498046875,946.4901618003845,0.0003,-0.317604800965637,2920,0.3445785641670227,0.0038854647,-0.007136339957651216,0.15,470.4374694824219
3.39,871,691,602112,86.93,294,0.05126953125,899.8005964756012,0.0003,-0.3099056626204401,2930,0.2929759621620178,0.0028618057,-0.0056996198545675725,0.15,347.688232421875
3.32,871,693,604160,90.49,295,0.0666015625,692.0904446601868,0.0003,-0.3095757850911468,2940,0.3455285429954529,0.0052929576,-0.006049835999147035,0.15,290.7263488769531
3.37,871,695,606208,90.47,296,0.04970703125,708.9292067527771,0.0003,-0.3196805404964834,2950,0.28907322883605957,0.002666862,-0.005056086277909344,0.15,387.43341064453125
3.45,871,697,608256,90.33,297,0.054345703125,785.7776155471802,0.0003,-0.33073452371172607,2960,0.33154380321502686,0.00366704,-0.006253612296131905,0.15,355.18280029296875
3.37,872,699,610304,89.29,298,0.047314453125,817.7679432868957,0.0003,-0.336473763268441,2970,0.3165024518966675,0.003242284,-0.005322889392482466,0.15,210.78305053710938
3.4,872,701,612352,81.92,299,0.08125,696.072694826126,0.0003,-0.33666534554213284,2980,0.35453569889068604,0.0045300666,-0.006891611095124972,0.15,471.294921875
3.3,872,704,614400,91.6,300,0.08330078125,681.8480481863022,0.0003,-0.34151132046245036,2990,0.31647056341171265,0.004167832,-0.007045606281826622,0.15,423.07281494140625
3.38,872,706,616448,89.08,301,0.0615234375,725.3482567071915,0.0003,-0.31905807289294896,3000,0.41362303495407104,0.0029406187,-0.00602582465580781,0.15,347.6219482421875
3.28,873,708,618496,79.71,302,0.05009765625,902.5040529727936,0.0003,-0.3193441786337644,3010,0.2714272141456604,0.0023780027,-0.005831462678179378,0.15,445.1521301269531
3.34,873,710,620544,87.94,303,0.061083984375,877.9520619392395,0.0003,-0.3166590909007937,3020,0.2715124487876892,0.0031114572,-0.006567886804987211,0.15,181.0709228515625
3.22,873,712,622592,85.56,304,0.082373046875,816.6581621170044,0.0003,-0.303806874062866,3030,0.29409271478652954,0.0062853703,-0.00908311688399408,0.15,373.0882263183594
3.3,873,715,624640,81.96,305,0.05224609375,846.5449545383453,0.0003,-0.3001568763516843,3040,0.2943653464317322,0.003304195,-0.006791333889123052,0.15,317.1332092285156
3.25,873,717,626688,92.74,306,0.06005859375,843.9722002029418,0.0003,-0.3046401287894696,3050,0.32352983951568604,0.0030195087,-0.007858143534394912,0.15,505.4496154785156
3.33,873,720,628736,84.28,307,0.079736328125,649.6397126197814,0.0003,-0.31491476893424986,3060,0.3383708596229553,0.0042670863,-0.008085200269852067,0.15,318.5836486816406
3.31,873,722,630784,86.72,308,0.05869140625,861.8588396072388,0.0003,-0.3113038578536361,3070,0.2390713095664978,0.0036031497,-0.0057711215689778324,0.15,463.0821838378906
3.33,873,724,632832,82.11,309,0.061376953125,793.3889105796814,0.0003,-0.31716854027472435,3080,0.3103755712509155,0.0035331151,-0.007636164751966134,0.15,280.4649963378906
3.39,873,726,634880,84.33,310,0.062353515625,817.6892577648163,0.0003,-0.3138035417534411,3090,0.3950080871582031,0.0035891728,-0.00889729799964698,0.15,552.4374389648438
